Year,Nation,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total,CODE
2004.0,Denmark,13.0,0.0,1.0,0.0,0.0,190.0,0.0,0.0,204.0,DNK
2004.0,Iceland,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,ISL
2004.0,Indonesia,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,IDN
2004.0,Japan,0.0,3.0,0.0,100.0,51.0,601.0,0.0,0.0,755.0,JPN
2004.0,Korea,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,KOR
2004.0,Norway,0.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,544.0,NOR
2004.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,111.0,1.0,112.0,RUS
2004.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,USA
2005.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CAN
2005.0,Denmark,13.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,193.0,DNK
2005.0,Iceland,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,ISL
2005.0,Indonesia,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,IDN
2005.0,Japan,10.0,5.0,0.0,100.0,50.0,1078.0,0.0,0.0,1243.0,JPN
2005.0,Korea,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,KOR
2005.0,Norway,0.0,0.0,0.0,0.0,0.0,639.0,0.0,0.0,639.0,NOR
2005.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,124.0,2.0,126.0,RUS
2005.0,St.Vincent & Grenadines,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,VCT
2005.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,USA
2006.0,Denmark,11.0,0.0,1.0,1.0,0.0,184.0,0.0,0.0,197.0,DNK
2006.0,Iceland,7.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,68.0,ISL
2006.0,Indonesia,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,IDN
2006.0,Japan,3.0,6.0,0.0,101.0,51.0,705.0,0.0,0.0,866.0,JPN
2006.0,Korea,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,KOR
2006.0,Norway,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,545.0,NOR
2006.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,134.0,3.0,137.0,RUS
2006.0,St.Vincent & Grenadines,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,VCT
2006.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,USA
2007.0,Denmark,12.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,181.0,DNK
2007.0,Iceland,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,ISL
2007.0,Indonesia,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,IDN
2007.0,Japan,0.0,3.0,0.0,100.0,50.0,759.0,0.0,0.0,912.0,JPN
2007.0,Korea,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,KOR
2007.0,Norway,0.0,0.0,0.0,0.0,0.0,597.0,0.0,0.0,597.0,NOR
2007.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,131.0,RUS
2007.0,St.Vincent & Grenadines,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,VCT
2007.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,64.0,USA
2008.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,CAN
2008.0,Denmark,14.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,168.0,DNK
2008.0,Iceland,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,ISL
2008.0,Indonesia,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,IDN
2008.0,Japan,1.0,2.0,0.0,100.0,50.0,851.0,0.0,0.0,1004.0,JPN
2008.0,Korea,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,KOR
2008.0,Norway,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,536.0,NOR
2008.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,130.0,2.0,132.0,RUS
2008.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
2008.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,USA
2009.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,CAN
2009.0,Denmark,10.0,0.0,0.0,0.0,0.0,168.0,0.0,3.0,181.0,DNK
2009.0,Iceland,125.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,206.0,ISL
2009.0,Indonesia,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,IDN
2009.0,Japan,1.0,1.0,0.0,101.0,50.0,672.0,0.0,0.0,825.0,JPN
2009.0,Korea,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,KOR
2009.0,Norway,0.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,484.0,NOR
2009.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,RUS
2009.0,St.Vincent & Grenadines,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,VCT
2009.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,USA
2010.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,CAN
2010.0,Denmark,6.0,0.0,9.0,0.0,0.0,196.0,0.0,3.0,214.0,DNK
2010.0,Iceland,148.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,208.0,ISL
2010.0,Indonesia,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,IDN
2010.0,Japan,2.0,3.0,0.0,100.0,50.0,290.0,0.0,0.0,445.0,JPN
2010.0,Korea,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,12.0,KOR
2010.0,Norway,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,468.0,NOR
2010.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,118.0,2.0,120.0,RUS
2010.0,St.Vincent & Grenadines,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,VCT
2010.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,USA
2011.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,CAN
2011.0,Denmark,5.0,0.0,8.0,0.0,0.0,189.0,0.0,1.0,203.0,DNK
2011.0,Iceland,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,58.0,ISL
2011.0,Indonesia,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,IDN
2011.0,Japan,1.0,1.0,0.0,96.0,50.0,392.0,0.0,0.0,540.0,JPN
2011.0,Korea,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,KOR
2011.0,Norway,0.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,533.0,NOR
2011.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,130.0,RUS
2011.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
2011.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,USA
2012.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,CAN
2012.0,Denmark,5.0,0.0,10.0,0.0,0.0,152.0,0.0,0.0,167.0,DNK
2012.0,Iceland,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,ISL
2012.0,Indonesia,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,IDN
2012.0,Japan,0.0,3.0,0.0,100.0,34.0,287.0,0.0,0.0,424.0,JPN
2012.0,Korea,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,KOR
2012.0,Norway,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,464.0,NOR
2012.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,143.0,RUS
2012.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
2012.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,USA
2013.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,CAN
2013.0,Denmark,9.0,0.0,8.0,0.0,0.0,181.0,0.0,0.0,198.0,DNK
2013.0,Iceland,134.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,169.0,ISL
2013.0,Indonesia,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,IDN
