Year ,Season, Type,Area,Nation,Fin,Sperm,Humpback,Sei,Bryde's ,Minke,Gray,Bowhead,Total,Notes 
2009,2009,SP: pelagic,NW Pacific,Japan,0,1,0,101,50,43,0,0,195, 
2009,2009,Inf,Korea,Korea,0,0,0,0,0,16,0,0,16, 
2009,2009,AS,Chukotka,Russia,0,0,0,0,0,0,116,0,116, 
2009,2009,AS,Alaska,USA,0,0,0,0,0,0,0,38,38, 
2009,2009,U,Indonesia,Indonesia,0,5,1,0,0,0,0,0,6,Unofficial information
2009,2009/10,SP: pelagic,Antarctic,Japan,1,0,0,0,0,507,0,0,508,See **
2010,2010,N,NE Canada,Canada,0,0,0,0,0,0,0,4,4, 
2010,2010,AS,W. Greenland,Denmark,6,0,9,0,0,187,0,3,205, 
2010,2010,AS,E. Greenland,Denmark,0,0,0,0,0,9,0,0,9, 
2010,2010,WR: small type,Iceland,Iceland,0,0,0,0,0,60,0,0,60, 
2010,2010,WR: coastal,W. Iceland,Iceland,148,0,0,0,0,0,0,0,148, 
2010,2010,WO: small type,NE Atlantic,Norway,0,0,0,0,0,468,0,0,468, 
2010,2010,AS,W.Indies,St.Vincent & Grenadines,0,0,3,0,0,0,0,0,3, 
2010,2010,SP: coastal,Japan,Japan,0,0,0,0,0,105,0,0,105, 
2010,2010,SP: pelagic,NW Pacific,Japan,0,3,0,100,50,14,0,0,167, 
2010,2010,Inf,Korea,Korea,0,0,0,0,1,11,0,0,12, 
2010,2010,AS,Chukotka,Russia,0,0,0,0,0,0,118,2,120, 
2010,2010,AS,Alaska,USA,0,0,0,0,0,0,0,71,71, 
2010,2010,U,Indonesia,Indonesia,0,22,0,0,0,0,0,0,22,Unofficial information
2010,2010/11,SP: pelagic,Antarctic,Japan,2,0,0,0,0,171,0,0,173,See **
2011,2011,N,NE Canada,Canada,0,0,0,0,0,0,0,3,3, 
2011,2011,AS,W. Greenland,Denmark,5,0,8,0,0,179,0,1,193, 
2011,2011,AS,E. Greenland,Denmark,0,0,0,0,0,10,0,0,10, 
2011,2011,WR: small type,Iceland,Iceland,0,0,0,0,0,58,0,0,58, 
2011,2011,WO: small type,NE Atlantic,Norway,0,0,0,0,0,533,0,0,533, 
2011,2011,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
2011,2011,SP: coastal,Japan,Japan,0,0,0,0,0,77,0,0,77, 
2011,2011,SP: pelagic,NW Pacific,Japan,0,1,0,96,50,49,0,0,196, 
2011,2011,Inf,Korea,Korea,0,0,0,0,0,21,0,0,21, 
2011,2011,AS,Chukotka,Russia,0,0,0,0,0,0,130,0,130, 
2011,2011,AS,Alaska,USA,0,0,0,0,0,0,0,51,51, 
2011,2011,U,Indonesia,Indonesia,0,14,0,0,0,0,0,0,14,Unofficial information
2011,2011/12,SP: pelagic,Antarctic,Japan,1,0,0,0,0,266,0,0,267,See **
2012,2012,N,NE Canada,Canada,0,0,0,0,0,0,0,3,3, 
2012,2012,AS,W. Greenland,Denmark,5,0,10,0,0,148,0,0,163, 
2012,2012,AS,E. Greenland,Denmark,0,0,0,0,0,4,0,0,4, 
2012,2012,WR: small type,Iceland,Iceland,0,0,0,0,0,52,0,0,52, 
2012,2012,WO: small type,NE Atlantic,Norway,0,0,0,0,0,464,0,0,464, 
2012,2012,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
2012,2012,SP: coastal,Japan,Japan,0,0,0,0,0,110,0,0,110, 
2012,2012,SP: pelagic,NW Pacific,Japan,0,3,0,100,34,74,0,0,211, 
2012,2012,Inf,Korea,Korea,0,0,0,0,0,4,0,0,4, 
2012,2012,AS,Chukotka,Russia,0,0,0,0,0,0,143,0,143, 
2012,2012,AS,Alaska,USA,0,0,0,0,0,0,0,69,69, 
2012,2012,U,Indonesia,Indonesia,0,3,0,0,0,0,0,0,3,Unofficial information
2012,2012-13,SP: pelagic,Antarctic,Japan,0,0,0,0,0,103,0,0,103,See **
2013,2013,N,NE Canada,Canada,0,0,0,0,0,0,0,3,3, 
2013,2013,AS,W. Greenland,Denmark,9,0,8,0,0,175,0,0,192, 
2013,2013,AS,E. Greenland,Denmark,0,0,0,0,0,6,0,0,6, 
