Year,Area,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total,CODE,latitudes,longitudes,size
1994.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,None,68.4275896,-32.55215,2.0
1994.0,Indonesia,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,IDN,-9.6004834,121.7535375,2.0
1994.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,280.0,None,56.5499995,-24.0,2.0
1994.0,NE Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,53.8878796,-53.5909151,2.0
1994.0,NW Pacific,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,None,31.3900266,-156.550517,2.0
1994.0,W. Greenland,22.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,126.0,None,75.3906409,-66.8595852,2.0
1995.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,59.0,None,58.1769992,-167.136665,2.0
1995.0,Antarctic,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,440.0,None,-62.9569253,-60.6328425,2.0
1995.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,None,69.4467673,-171.3853847,2.0
1995.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,None,68.4275896,-32.55215,2.0
1995.0,Indonesia,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,IDN,-9.6004834,121.7535375,2.0
1995.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,218.0,None,56.5499995,-24.0,2.0
1995.0,NW Pacific,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,None,31.3900266,-156.550517,2.0
1995.0,W. Greenland,12.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,165.0,None,75.3906409,-66.8595852,2.0
1996.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,None,58.1769992,-167.136665,2.0
1996.0,Antarctic,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,440.0,None,-62.9569253,-60.6328425,2.0
1996.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,None,69.4467673,-171.3853847,2.0
1996.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,None,68.4275896,-32.55215,2.0
1996.0,Indonesia,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,IDN,-9.6004834,121.7535375,2.0
1996.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,388.0,None,56.5499995,-24.0,2.0
1996.0,NE Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,53.8878796,-53.5909151,2.0
1996.0,NW Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,52.2595533,-129.7790971,2.0
1996.0,NW Pacific,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,77.0,None,31.3900266,-156.550517,2.0
1996.0,W. Greenland,19.0,0.0,1.0,0.0,0.0,164.0,0.0,0.0,184.0,None,75.3906409,-66.8595852,2.0
1996.0,W.Indies,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,None,13.6571919,-60.8986297,2.0
1997.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,None,58.1769992,-167.136665,2.0
1997.0,Antarctic,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,438.0,None,-62.9569253,-60.6328425,2.0
